STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_TT,MO_TX,MO_TN,date_start,date_end,geo_lon,geo_lat,height,name,state
131,20100901,20100930,10,12.19,16.3,8.57,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20101001,20101031,10,7.6,12,3.83,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20101101,20101130,10,4.47,6.78,1.9,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20101201,20101231,10,-4.42,-1.81,-7.38,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110101,20110131,10,0.42,2.79,-2.05,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110201,20110228,10,-0.66,2.54,-3.84,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110301,20110331,10,4.74,9.62,0.46,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110401,20110430,10,11.27,16.7,6.03,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110501,20110531,10,13.79,20.22,7.56,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110601,20110630,10,16.75,22.86,11.4,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110701,20110731,10,16.2,20.67,11.81,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110801,20110831,10,17.99,23.45,13.18,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20110901,20110930,10,15.47,20.86,10.84,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20111001,20111031,10,9.65,14.29,5.75,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20111101,20111130,10,4.77,9.29,1.5,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20111201,20111231,10,3.69,5.98,1.38,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120101,20120131,10,1.16,3.18,-1.08,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20120201,20120229,10,-3.81,-0.65,-6.95,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
